CODE_CITY,CITY,UF,LATITUDE,LONGITUDE,HEIGHT,NM_UF
1702901,Axixá Do Tocantins,TO,-5.62430906592745,-47.7741560325221,217.832215,TOCANTINS
1703008,Babaçulândia,TO,-7.20186453206148,-47.7588161270324,161.381782,TOCANTINS
2101202,Bacabal,MA,-4.23152462978051,-44.7815559640891,25.184611,MARANHÃO
2902500,Baianópolis,BA,-12.3041247007939,-44.5360980467187,672.202298,BAHIA
2201150,Baixa Grande Do Ribeiro,PI,-7.85335195918549,-45.212815292567,347.98021,PIAUÍ
2101400,Balsas,MA,-7.53116999024552,-46.0389926733405,255.910533,MARANHÃO
1703057,Bandeirantes Do Tocantins,TO,-7.76485914125333,-48.5783806048644,290.992965,TOCANTINS
2101509,Barão De Grajaú,MA,-6.75895520558046,-43.0264526994269,110.360829,MARANHÃO
2101608,Barra Do Corda,MA,-5.5083395,-45.239011016111,152.522676,MARANHÃO
1703073,Barra Do Ouro,TO,-7.69176659865687,-47.6871349692244,163.374048,TOCANTINS
2903201,Barreiras,BA,-12.1449248883906,-45.0041684370285,441.997802,BAHIA
2201309,Barreiras Do Piauí,PI,-9.92124682674306,-45.4777877054503,404.970802,PIAUÍ
2101707,Barreirinhas,MA,-2.75008594875811,-42.8278025132041,5.037739,MARANHÃO
1703107,Barrolândia,TO,-9.83165336453342,-48.7314605907218,346.969179,TOCANTINS
2101731,Belágua,MA,-3.15677222752965,-43.510061642741,64.562445,MARANHÃO
2101806,Benedito Leite,MA,-7.2187997953852,-44.5598567990095,218.997828,MARANHÃO
2101939,Bernardo Do Mearim,MA,-4.63028749079229,-44.7643231034878,52.21505,MARANHÃO
1703206,Bernardo Sayão,TO,-7.86851248331281,-48.8990543467276,163.731013,TOCANTINS
2201705,Bertolínia,PI,-7.62862476310433,-43.9543877391026,290.856122,PIAUÍ
2201903,Bom Jesus,PI,-9.07094898367372,-44.3605250848238,299.871529,PIAUÍ
2903904,Bom Jesus Da Lapa,BA,-13.2541143730901,-43.417141642139,436.928875,BAHIA
1703305,Bom Jesus Do Tocantins,TO,-8.96334801285521,-48.1663804935405,188.018168,TOCANTINS
2102077,Bom Lugar,MA,-4.37550960146424,-45.0311078563238,40.984949,MARANHÃO
1703602,Brasilândia Do Tocantins,TO,-8.38488935107799,-48.485374419124,217.736921,TOCANTINS
1703701,Brejinho De Nazaré,TO,-11.0108050561865,-48.5586602281507,222.777925,TOCANTINS
2102101,Brejo,MA,-3.679178,-42.7508478268196,53.017318,MARANHÃO
